reaction	enzyme	gene
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	holo-EntB dimer	entE
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	phosphopantetheinyl transferase EntD	entE
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	holo [EntF peptidyl-carrier protein]	entE
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	2	entE
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	3-dihydroxybenzoate-[aryl-carrier protein] ligase	entE
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	holo-EntB dimer	entF
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	phosphopantetheinyl transferase EntD	entF
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	holo [EntF peptidyl-carrier protein]	entF
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	2	entF
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	3-dihydroxybenzoate-[aryl-carrier protein] ligase	entF
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	holo-EntB dimer	entD
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	phosphopantetheinyl transferase EntD	entD
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	holo [EntF peptidyl-carrier protein]	entD
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	2	entD
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	3-dihydroxybenzoate-[aryl-carrier protein] ligase	entD
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	holo-EntB dimer	entB
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	phosphopantetheinyl transferase EntD	entB
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	holo [EntF peptidyl-carrier protein]	entB
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	2	entB
6 ATP + 3 L-serine + 3 2,3-dihydroxybenzoate  ->  6 AMP + enterobactin + 6 diphosphate + 3 H+	3-dihydroxybenzoate-[aryl-carrier protein] ligase	entB
meso-diaminopimelate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP + ADP + phosphate + H+	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2	murE
meso-diaminopimelate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP + ADP + phosphate + H+	6-diaminopimelate ligase	murE
D-aspartate + ATP + H+  ->  (D-aspartyl)adenylate + diphosphate	aspartate&mdash	aspS
D-aspartate + ATP + H+  ->  (D-aspartyl)adenylate + diphosphate	tRNA ligase	aspS
ATP + UTP + ammonia  ->  ADP + CTP + phosphate + H+	CTP synthetase	pyrG
ATP + propanoate  <-->  ADP + propanoyl phosphate	acetate kinase	tdcD
ATP + propanoate  <-->  ADP + propanoyl phosphate	propionate kinase	tdcD
ATP + propanoate  <-->  ADP + propanoyl phosphate	acetate kinase	ackA
ATP + propanoate  <-->  ADP + propanoyl phosphate	propionate kinase	ackA
2,3,4-saturated fatty acyl-CoA synthetase		
ATP + pyridoxal  ->  ADP + pyridoxal 5'-phosphate + H+	pyridoxal kinase 2	pdxK
ATP + pyridoxal  ->  ADP + pyridoxal 5'-phosphate + H+	pyridoxal kinase 1	pdxK
ATP + pyridoxal  ->  ADP + pyridoxal 5'-phosphate + H+	hydroxymethylpyrimidine kinase	pdxK
ATP + pyridoxal  ->  ADP + pyridoxal 5'-phosphate + H+	pyridoxal kinase 2	pdxY
ATP + pyridoxal  ->  ADP + pyridoxal 5'-phosphate + H+	pyridoxal kinase 1	pdxY
ATP + pyridoxal  ->  ADP + pyridoxal 5'-phosphate + H+	hydroxymethylpyrimidine kinase	pdxY
3'-dephospho-CoA + ATP  ->  coenzyme A + ADP + H+	dephospho-CoA kinase	coaE
D-ribulose + ATP  ->  D-ribulose 1-phosphate + ADP + H+	L-fuculokinase	fucK
2 ATP + L-glutamine + hydrogen carbonate + H2O  ->  carbamoyl phosphate + L-glutamate + 2 ADP + phosphate + 2 H+	carbamoyl-phosphate synthetase	carA
2 ATP + L-glutamine + hydrogen carbonate + H2O  ->  carbamoyl phosphate + L-glutamate + 2 ADP + phosphate + 2 H+	glutamine-hydrolyzing	carA
2 ATP + L-glutamine + hydrogen carbonate + H2O  ->  carbamoyl phosphate + L-glutamate + 2 ADP + phosphate + 2 H+	carbamoyl-phosphate synthetase	carB
2 ATP + L-glutamine + hydrogen carbonate + H2O  ->  carbamoyl phosphate + L-glutamate + 2 ADP + phosphate + 2 H+	glutamine-hydrolyzing	carB
(R)-pantothenate + ATP  ->  (R)-4'-phosphopantothenate + ADP + H+	pantothenate kinase	coaA
D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+	glucokinase	glk
L-rhamnulofuranose + ATP  ->  L-rhamnulose 1-phosphate + ADP + H+	rhamnulokinase	rhaB
L-glutamine + L-aspartate + ATP + H2O  ->  L-glutamate + L-asparagine + AMP + diphosphate + H+	asparagine synthetase B	asnB
ATP + ADP + H+  ->  P1,P3-bis(5'-adenosyl) triphosphate + diphosphate	lysine&mdash	lysU
ATP + ADP + H+  ->  P1,P3-bis(5'-adenosyl) triphosphate + diphosphate	tRNA ligase	lysU
L-aspartate + ATP + H+  ->  (L-aspartyl)adenylate + diphosphate	aspartate&mdash	aspS
L-aspartate + ATP + H+  ->  (L-aspartyl)adenylate + diphosphate	tRNA ligase	aspS
2 GTP + MoO2(OH)-molybdopterin cofactor + molybdopterin + 4 H+  ->  bis(guanylyl molybdopterin) cofactor + 2 diphosphate + 2 H2O	molybdenum cofactor guanylyltransferase	mobA
ATP + a 1,2-diacyl-sn-glycerol  ->  a phosphatidate + ADP + H+	diacylglycerol kinase	dgkA
1-(5-phospho-beta-D-ribosyl)-ATP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-AMP + diphosphate + H+	putative bifunctional phosphoribosyl-AMP cyclohydrolase	hisI
1-(5-phospho-beta-D-ribosyl)-ATP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-AMP + diphosphate + H+	phosphoribosyl-ATP pyrophosphatase	hisI
D-tryptophan + ATP + H+  ->  (D-tryptophanyl)adenylate + diphosphate	tryptophan&mdash	trpS
D-tryptophan + ATP + H+  ->  (D-tryptophanyl)adenylate + diphosphate	tRNA ligase	trpS
7-carboxy-7-deazaguanine + ammonium + 2 ATP  ->  preQ0 + 2 AMP + 2 diphosphate + 2 H+	7-cyano-7-deazaguanine synthase	queC
tRNATyr + L-tyrosine + ATP  ->  L-tyrosyl-[tRNATyr] + AMP + diphosphate	tyrosine&mdash	tyrS
tRNATyr + L-tyrosine + ATP  ->  L-tyrosyl-[tRNATyr] + AMP + diphosphate	tRNA ligase	tyrS
a uridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyluridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	mnmE
a uridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyluridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+	5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG	mnmE
a uridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyluridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	mnmG
a uridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyluridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+	5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG	mnmG
ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate	2	entE
ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate	3-dihydroxybenzoate-[aryl-carrier protein] ligase	entE
ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate	holo-EntB dimer	entE
ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate	phosphopantetheinyl transferase EntD	entE
ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate	holo [EntF peptidyl-carrier protein]	entE
ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate	2	entE
ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate	3-dihydroxybenzoate-[aryl-carrier protein] ligase	entE
L-xylulose + ATP  ->  L-xylulose 5-phosphate + ADP + H+	L-xylulose kinase	lyxK
D-glycero-beta-D-manno-heptose 1-phosphate + ATP + H+  ->  ADP-D-glycero-beta-D-manno-heptose + diphosphate	fused heptose 7-phosphate kinase	hldE
D-glycero-beta-D-manno-heptose 1-phosphate + ATP + H+  ->  ADP-D-glycero-beta-D-manno-heptose + diphosphate	heptose 1-phosphate adenyltransferase	hldE
tRNALeu + L-leucine + ATP  ->  L-leucyl-[tRNALeu] + AMP + diphosphate	leucine&mdash	leuS
tRNALeu + L-leucine + ATP  ->  L-leucyl-[tRNALeu] + AMP + diphosphate	tRNA ligase	leuS
glucosyl-(heptosyl)2-Kdo2-lipid A + ATP  ->  glucosyl-(heptosyl)2-Kdo2-lipid A-phosphate + ADP + H+	lipopolysaccharide core heptose (I) kinase	waaP
holo [citrate lyase acyl-carrier protein] + acetate + ATP  ->  acetyl-holo [citrate lyase acyl-carrier protein] + AMP + diphosphate	citrate lyase synthetase	citC
alpha-D-ribose 1,5-bisphosphate + ATP  <-->  5-phospho-alpha-D-ribose 1-diphosphate + ADP	ribose 1	phnN
alpha-D-ribose 1,5-bisphosphate + ATP  <-->  5-phospho-alpha-D-ribose 1-diphosphate + ADP	5-bisphosphate phosphokinase	phnN
tRNA-queuosine glutamyltransferase	glutamyl-Q tRNA<sup>Asp<	gluQ
tRNA-queuosine glutamyltransferase	sup> synthetase	gluQ
6-(hydroxymethyl)-7,8-dihydropterin + ATP  ->  (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H+	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK
a [lipoyl-carrier protein]-L-lysine + ATP + (R)-lipoate  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + AMP + diphosphate + H+	lipoate&mdash	lplA
a [lipoyl-carrier protein]-L-lysine + ATP + (R)-lipoate  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + AMP + diphosphate + H+	protein ligase A	lplA
initiator tRNAMet + L-methionine + ATP  ->  L-methionyl-[initiator tRNAMet] + AMP + diphosphate	methionine&mdash	metG
initiator tRNAMet + L-methionine + ATP  ->  L-methionyl-[initiator tRNAMet] + AMP + diphosphate	tRNA ligase	metG
a cytidine34 in [elongator tRNAmet] + ATP + acetyl-CoA + H2O  ->  an N4-acetylcytidine34 in [elongator tRNAmet] + ADP + coenzyme A + phosphate + H+	tRNA<sup>Met<	tmcA
a cytidine34 in [elongator tRNAmet] + ATP + acetyl-CoA + H2O  ->  an N4-acetylcytidine34 in [elongator tRNAmet] + ADP + coenzyme A + phosphate + H+	sup> cytidine acetyltransferase	tmcA
ATP + FMN + H+  <-->  FAD + diphosphate	bifunctional riboflavin kinase	ribF
ATP + FMN + H+  <-->  FAD + diphosphate	FMN adenylyltransferase	ribF
a [protein]-(L-serine/L-threonine) + ATP  ->  an O-(5'-adenylyl)-L-serine/L-threonine-[protein] + diphosphate	protein adenylyltransferase SelO	selO
dATP + 2 hydroxyl radical  ->  2-hydroxy-dATP + H2O		
oxaloacetate + ATP  <-->  CO2 + phosphoenolpyruvate + ADP	phosphoenolpyruvate carboxykinase (ATP)	pck
N6-(1-deoxy-D-fructos-1-yl)-L-lysine + ATP  ->  N6-(1-deoxy-6-O-phospho-D-fructos-1-yl)-L-lysine + ADP + H+	fructoselysine 6-kinase	frlD
L-aspartate + L-citrulline + ATP  ->  L-arginino-succinate + AMP + diphosphate + H+	argininosuccinate synthetase	argG
a [elongation-Factor-P]-L-lysine + (R)-beta-lysine + ATP  ->  a [elongation-Factor-P]-N6-(beta-lysyl)-L-lysine + AMP + diphosphate + H+		
tRNACys + L-cysteine + ATP  ->  L-cysteinyl-[tRNACys] + AMP + diphosphate	cysteine&mdash	cysS
tRNACys + L-cysteine + ATP  ->  L-cysteinyl-[tRNACys] + AMP + diphosphate	tRNA ligase	cysS
HypF carbamoyltransferase	carbamoyl--[HypE] ligase	hypF
D-mannopyranose + ATP  ->  D-mannopyranose 6-phosphate + ADP + H+	fructokinase	mak
tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	folylpoly-&alpha	folC
tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	-glutamate synthetase	folC
tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	bifunctional folylpolyglutamate synthetase	folC
tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	dihydrofolate synthetase	folC
a [glutamine-synthetase]-L-tyrosine + ATP  ->  a [glutamine synthetase]-O4-(5'-adenylyl)-L-tyrosine + diphosphate	fused glutamine synthetase deadenylase	glnE
a [glutamine-synthetase]-L-tyrosine + ATP  ->  a [glutamine synthetase]-O4-(5'-adenylyl)-L-tyrosine + diphosphate	glutamine synthetase adenylyltransferase	glnE
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	lysine&mdash	lysU
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	tRNA ligase	lysU
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	constitutive	lysU
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	lysine&mdash	lysU
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	tRNA ligase	lysU
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	lysine&mdash	lysS
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	tRNA ligase	lysS
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	constitutive	lysS
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	lysine&mdash	lysS
L-lysine + ATP + H+  ->  (L-lysyl)adenylate + diphosphate	tRNA ligase	lysS
ATP + (polyphosphate)(n)  <-->  ADP + (polyphosphate)(n+1)	polyphosphate kinase	ppk
GTP + 4 H2O  ->  2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + formate + 2 phosphate + 3 H+	GTP cyclohydrolase 2	ribA
1-methyl-dATP + 2-oxoglutarate + dioxygen  ->  dATP + formaldehyde + succinate + CO2	DNA oxidative demethylase	alkB
lipid A disaccharide (E. coli) + ATP  ->  lipid IVA (E. coli) + ADP + H+	tetraacyldisaccharide 4'-kinase	lpxK
uridine + ATP  ->  UMP + ADP + H+	uridine	udk
uridine + ATP  ->  UMP + ADP + H+	cytidine kinase	udk
[HypE]-S-carboxamide + ATP  ->  [HypE]-S-cyanate + ADP + phosphate + H+	carbamoyl dehydratase HypE	hypE
ammonium + L-glutamate + ATP  ->  L-glutamine + ADP + phosphate + H+	glutamine synthetase	glnA
dGTP + H2O  ->  dGMP + diphosphate + H+	nucleoside triphosphate pyrophosphohydrolase	
UDP-<I>N</I>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelate ligase	UDP-<i>N<	murF
UDP-<I>N</I>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelate ligase	i>-acetylmuramoyl-tripeptide&mdash	murF
UDP-<I>N</I>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelate ligase	D-alanyl-D-alanine ligase	murF
succinate + coenzyme A + ATP  <-->  succinyl-CoA + ADP + phosphate	succinyl-CoA synthetase subunit alpha	sucD
succinate + coenzyme A + ATP  <-->  succinyl-CoA + ADP + phosphate	succinyl-CoA synthetase subunit beta	sucD
succinate + coenzyme A + ATP  <-->  succinyl-CoA + ADP + phosphate	succinyl-CoA synthetase subunit alpha	sucC
succinate + coenzyme A + ATP  <-->  succinyl-CoA + ADP + phosphate	succinyl-CoA synthetase subunit beta	sucC
[HypC/HypD dimer]-Fe-CO2 + ATP + 2 reduced one electron carrier  ->  [HypC/HypD dimer]-Fe-CO + ADP + 2 oxidized electron carrier + phosphate + H+	Fe-(CN)<sub>2<	hypD
[HypC/HypD dimer]-Fe-CO2 + ATP + 2 reduced one electron carrier  ->  [HypC/HypD dimer]-Fe-CO + ADP + 2 oxidized electron carrier + phosphate + H+	sub>CO cofactor assembly scaffold protein HypD	hypD
10-formyl-tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  10-formyl-tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	bifunctional folylpolyglutamate synthetase	folC
10-formyl-tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  10-formyl-tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	dihydrofolate synthetase	folC
UDP + ATP  ->  UTP + ADP	adenylate kinase	ndk
UDP + ATP  ->  UTP + ADP	nucleoside diphosphate kinase	ndk
UDP + ATP  ->  UTP + ADP	adenylate kinase	adk
UDP + ATP  ->  UTP + ADP	nucleoside diphosphate kinase	adk
a 2-thiouridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyl-2-thiouridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	mnmE
a 2-thiouridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyl-2-thiouridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+	5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG	mnmE
a 2-thiouridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyl-2-thiouridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	mnmG
a 2-thiouridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyl-2-thiouridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+	5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG	mnmG
ATP + NAD+  ->  ADP + NADP+ + H+	NAD kinase	nadK
L-ornithine + ATP  ->  3-aminopiperidine-2-one + AMP + diphosphate + H+	lysine&mdash	lysU
L-ornithine + ATP  ->  3-aminopiperidine-2-one + AMP + diphosphate + H+	tRNA ligase	lysU
GTP + H2O  ->  formate + 7,8-dihydroneopterin 3'-triphosphate + H+	GTP cyclohydrolase 1	folE
ATP + riboflavin  ->  ADP + FMN + H+	bifunctional riboflavin kinase	ribF
ATP + riboflavin  ->  ADP + FMN + H+	FMN adenylyltransferase	ribF
L-histidine + ATP + H+  ->  (L-histidyl)adenylate + diphosphate	histidine--tRNA ligase	hisS
CO2 + (7R,8S)-diaminononanoate + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	dethiobiotin synthetase	bioD
CO2 + (7R,8S)-diaminononanoate + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	dethiobiotin synthetase BidA	bioD
CO2 + (7R,8S)-diaminononanoate + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	dethiobiotin synthetase	bidA
CO2 + (7R,8S)-diaminononanoate + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	dethiobiotin synthetase BidA	bidA
