Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
2''-O-acetyl-ADP-ribose  <-->  3''-O-acetyl-ADP-ribose,,2''-<i>O</i>-acetyl-ADP-ribose // 3''-<i>O</i>-acetyl-ADP-ribose,3''-<i>O</i>-acetyl-ADP-ribose,,,
thiamine + ATP  ->  thiamine phosphate + ADP + H+,EC-2.7.1.89,ATP // thiamine // H<SUP>+</SUP> // thiamine phosphate // ADP,H<SUP>+</SUP> // thiamine phosphate // ADP,thiamine kinase,thiK,
cytidine-3'-monophosphate + H2O  ->  cytidine + phosphate,EC-3.1.3.6,H<sub>2</sub>O // cytidine-3'-monophosphate // cytidine // phosphate,cytidine // phosphate,"alkaline phosphatase // 2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase // broad specificity 5'(3')-nucleotidase and polyphosphatase // acid phosphatase / phosphotransferase",umpG // cpdB // phoA,
L-homoserine + ATP  ->  L-homoserine lactone + AMP + diphosphate,,ATP // L-homoserine // L-homoserine lactone // AMP // diphosphate,L-homoserine lactone // AMP // diphosphate,lysine&mdash;tRNA ligase,lysU,
uroporphyrinogen-III + 2 S-adenosyl-L-methionine  ->  2 S-adenosyl-L-homocysteine + precorrin-2 + H+,EC-2.1.1.107,uroporphyrinogen-III // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // precorrin-2 // H<SUP>+</SUP>,<i>S</i>-adenosyl-L-homocysteine // precorrin-2 // H<SUP>+</SUP>,siroheme synthase,cysG,siroheme biosynthesis
D-galactopyranuronate  <-->  aldehydo-D-galacturonate,,D-galactopyranuronate // <i>aldehydo</i>-D-galacturonate,<i>aldehydo</i>-D-galacturonate,,,
a 1-lysophosphatidylethanolamine + glycerophosphoglycerol  ->  sn-glycero-3-phosphoethanolamine + a lysophosphatidylglycerol,,glycerophosphoglycerol // a 1-lysophosphatidylethanolamine // <i>sn</i>-glycero-3-phosphoethanolamine // a lysophosphatidylglycerol,<i>sn</i>-glycero-3-phosphoethanolamine // a lysophosphatidylglycerol,lysophospholipase L2,pldB,
L-serine + acetyl-CoA  ->  O-acetyl-L-serine + coenzyme A,EC-2.3.1.30,acetyl-CoA // L-serine // <i>O</i>-acetyl-L-serine // coenzyme A,<i>O</i>-acetyl-L-serine // coenzyme A,serine acetyltransferase,cysE,L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine) // L-cysteine biosynthesis I
D-glucose 6-phosphate[periplasm] + H2O[periplasm]  ->  D-glucose[periplasm] + phosphate[periplasm],EC-3.1.3,H<sub>2</sub>O // D-glucose 6-phosphate // D-glucose // phosphate,D-glucose // phosphate,alkaline phosphatase,phoA,
ammonia + 2-oxoglutarate + NADPH + 2 H+  ->  L-glutamate + NADP+ + H2O,,H<sub>2</sub>O // NADP<sup>+</sup> // L-glutamate // ammonia // 2-oxoglutarate // NADPH // H<SUP>+</SUP>,L-glutamate // NADP<sup>+</sup> // H<sub>2</sub>O,glutamate synthase,gltD // gltB,ammonia assimilation cycle III // L-glutamate biosynthesis I
coenzyme A + acetaldehyde + NAD+  <-->  acetyl-CoA + NADH + H+,EC-1.2.1.10,acetaldehyde // coenzyme A // NAD<sup>+</sup> // H<SUP>+</SUP> // NADH // acetyl-CoA,H<SUP>+</SUP> // NADH // acetyl-CoA,acetaldehyde dehydrogenase (acetylating) MhpF // fused acetaldehyde-CoA dehydrogenase and Fe-dependent alcohol dehydrogenase // acetaldehyde dehydrogenase (acetylating) EutE,eutE // adhE // mhpF,"mixed acid fermentation // pyruvate fermentation to ethanol I // ethanolamine utilization // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation // 2-hydroxypenta-2,4-dienoate degradation // L-threonine degradation IV // ethanol degradation I"
tRNA precursor with long 5 extension & short 3 extension + H2O  ->  tRNA precursor with a short 3' extension + tRNA fragment,EC-3.1.26.5,H<sub>2</sub>O // a tRNA precursor with long 5 extension &amp; short 3 extension // a tRNA precursor with a short 3' extension // a tRNA fragment,a tRNA precursor with a short 3' extension // a tRNA fragment,RNase P,rnpB // rnpA,polycistronic tRNA processing II
"2-oxepin-2(3H)-ylideneacetyl-CoA + NADP+ + 2 H2O  ->  3-oxo-5,6-didehydrosuberyl-CoA + NADPH + 2 H+",,"H<sub>2</sub>O // NADP<sup>+</sup> // 2-oxepin-2(3H)-ylideneacetyl-CoA // 3-oxo-5,6-didehydrosuberyl-CoA // NADPH // H<SUP>+</SUP>","3-oxo-5,6-didehydrosuberyl-CoA // NADPH // H<SUP>+</SUP>","fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase",paaZ,phenylacetate degradation I (aerobic)
"iron(III)-[(2,3-dihydroxybenzoylserine)2] complex + H2O + H+  ->  iron(III)-[N-(2,3-dihydroxybenzoyl)-L-serine] complex + N-(2,3-dihydroxybenzoyl)-L-serine",,"H<SUP>+</SUP> // H<sub>2</sub>O // iron(III)-[(2,3-dihydroxybenzoylserine)<sub>2</sub>] complex // iron(III)-[<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine] complex // <i>N</i>-(2,3-dihydroxybenzoyl)-L-serine","iron(III)-[<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine] complex // <i>N</i>-(2,3-dihydroxybenzoyl)-L-serine",ferric enterobactin esterase,fes,
glycerol 2-phosphate + H2O  ->  glycerol + phosphate,EC-3.1.3.19,glycerol 2-phosphate // H<sub>2</sub>O // phosphate // glycerol,phosphate // glycerol,alkaline phosphatase // Nus factor SuhB,suhB // phoA,
coenzyme A + L-carnitine + ATP  ->  (R)-carnitinyl-CoA + AMP + diphosphate,EC-6.2.1.48,ATP // L-carnitine // coenzyme A // (<i>R</i>)-carnitinyl-CoA // AMP // diphosphate,(<i>R</i>)-carnitinyl-CoA // AMP // diphosphate,carnitine&mdash;CoA ligase,caiC,L-carnitine degradation I
ATP + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + L-aspartate  ->  ADP + 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole + phosphate + H+,EC-6.3.2.6,L-aspartate // 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate // ATP // H<SUP>+</SUP> // ADP // phosphate // 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole,H<SUP>+</SUP> // ADP // phosphate // 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole,phosphoribosylaminoimidazole-succinocarboxamide synthase,purC,inosine-5'-phosphate biosynthesis I
CMP-3-deoxy-beta-D-manno-octulosonate + lipid IVA (E. coli)  ->  alpha-Kdo-(2->6)-lipid IVA (E. coli) + CMP + H+,EC-2.4.99.12,lipid IV<sub>A</sub> (<i>E. coli</i>) // CMP-3-deoxy-&beta;-D-<i>manno</i>-octulosonate // H<SUP>+</SUP> // &alpha;-Kdo-(2&rarr;6)-lipid IV<sub>A</sub> (E. coli) // CMP,H<SUP>+</SUP> // &alpha;-Kdo-(2&rarr;6)-lipid IV<sub>A</sub> (E. coli) // CMP,KDO transferase,waaA,Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>)
malonyl-[acp] + S-adenosyl-L-methionine  ->  malonyl-[acp] methyl ester + S-adenosyl-L-homocysteine,EC-2.1.1.197,a malonyl-[acp] // <i>S</i>-adenosyl-L-methionine // a malonyl-[acp] methyl ester // <i>S</i>-adenosyl-L-homocysteine,a malonyl-[acp] methyl ester // <i>S</i>-adenosyl-L-homocysteine,malonyl-acyl carrier protein methyltransferase,bioC,8-amino-7-oxononanoate biosynthesis I
ATP + beta-nicotinate D-ribonucleotide + H+  ->  nicotinate adenine dinucleotide + diphosphate,EC-2.7.7.18,&beta;-nicotinate D-ribonucleotide // ATP // H<SUP>+</SUP> // diphosphate // nicotinate adenine dinucleotide,diphosphate // nicotinate adenine dinucleotide,nicotinate-nucleotide adenylyltransferase,nadD,NAD salvage pathway II (PNC IV cycle) // NAD salvage pathway I (PNC VI cycle) // NAD <i>de novo</i> biosynthesis I
glycine + acetyl-CoA  <-->  L-2-amino-3-oxobutanoate + coenzyme A,EC-2.3.1.29,acetyl-CoA // glycine // L-2-amino-3-oxobutanoate // coenzyme A,L-2-amino-3-oxobutanoate // coenzyme A,2-amino-3-ketobutyrate CoA ligase,kbl,L-threonine degradation II
dUDP + oxidized NrdH glutaredoxin-like protein + H2O  <-  UDP + reduced NrdH glutaredoxin-like protein,EC-1.17.4.1,H<sub>2</sub>O // an oxidized NrdH glutaredoxin-like protein // dUDP // UDP // a reduced NrdH glutaredoxin-like protein,dUDP // an oxidized NrdH glutaredoxin-like protein // H<sub>2</sub>O,ribonucleoside-diphosphate reductase 2,nrdE // nrdF,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
adenosine + H+ + H2O  ->  ammonium + inosine,EC-3.5.4.4,adenosine // H<sub>2</sub>O // H<SUP>+</SUP> // ammonium // inosine,ammonium // inosine,adenosine deaminase // purine nucleoside phosphorylase YfiH,yfiH // add,purine ribonucleosides degradation // adenine and adenosine salvage V // adenine and adenosine salvage III // adenosine nucleotides degradation II
guanosine 2'-monophosphate[periplasm] + H2O[periplasm]  ->  guanosine[periplasm] + phosphate[periplasm],EC-3.1.3,H<sub>2</sub>O // guanosine 2'-monophosphate // guanosine // phosphate,guanosine // phosphate,alkaline phosphatase,phoA,
"(3R,7Z)-3-hydroxytetradec-7-enoyl-[acp] + NADP+  <-  (7Z)-3-oxotetradec-7-enoyl-[acp] + NADPH + H+",EC-1.1.1.100,"NADP<sup>+</sup> // a (3<i>R</i>,7<i>Z</i>)-3-hydroxytetradec-7-enoyl-[acp] // a (7<i>Z</i>)-3-oxotetradec-7-enoyl-[acp] // NADPH // H<SUP>+</SUP>","a (3<i>R</i>,7<i>Z</i>)-3-hydroxytetradec-7-enoyl-[acp] // NADP<sup>+</sup>",3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
(Z)-3-aminoacrylate + H+ + H2O  ->  3-oxopropanoate + ammonium,,H<sub>2</sub>O // (<i>Z</i>)-3-aminoacrylate // H<SUP>+</SUP> // 3-oxopropanoate // ammonium,3-oxopropanoate // ammonium,3-aminoacrylate deaminase,rutC,uracil degradation III
an acetyl ester + H2O  ->  an alcohol + acetate + H+,EC-3.1.1.6,an acetyl ester // H<sub>2</sub>O // an alcohol // acetate // H<SUP>+</SUP>,an alcohol // acetate // H<SUP>+</SUP>,acetylesterase // pimeloyl-acyl carrier protein methyl ester esterase // carboxylesterase,aes,
D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate,EC-5.3.1.1,D-glyceraldehyde 3-phosphate // glycerone phosphate,glycerone phosphate,triose-phosphate isomerase,tpiA,glycolysis I (from glucose 6-phosphate) // glycolysis II (from fructose 6-phosphate) // gluconeogenesis I
a menaquinol[inner membrane] + 2 oxidized [NrfB protein][periplasm]  ->  a menaquinone[inner membrane] + 2 reduced [NrfB protein][periplasm] + 2 H+[periplasm],EC-7.1.1.8,an oxidized [NrfB protein] // a menaquinol // a menaquinone // a reduced [NrfB protein] // H<SUP>+</SUP>,a menaquinone // a reduced [NrfB protein] // H<SUP>+</SUP>,putative menaquinol-cytochrome <i>c</i> reductase NrfCD,nrfC // nrfD,formate to nitrite electron transfer
hydrogen carbonate  <-->  carbonate + H+,,hydrogen carbonate // carbonate // H<SUP>+</SUP>,carbonate // H<SUP>+</SUP>,,,
2 ATP + 2 [corrinoid adenosyltranferase]-cob(I)inamide + 2 H+  ->  2 adenosylcobinamide + 2 triphosphate + 2 [corrinoid adenosyltransferase],,H<SUP>+</SUP> // [corrinoid adenosyltranferase]-cob(I)inamide // ATP // adenosylcobinamide // triphosphate // a [corrinoid adenosyltransferase],adenosylcobinamide // triphosphate // a [corrinoid adenosyltransferase],cobinamide/cobalamin adenosyltransferase,btuR,adenosylcobinamide-GDP salvage from cobinamide I
aldehydo-D-xylose  <-->  D-xylopyranose,,<i>aldehydo</i>-D-xylose // D-xylopyranose,D-xylopyranose,,,
a [K+ transporting P-type ATPase KdpB subunit]-L-serine + ATP  ->  a [K+ transporting P-type ATPase KdpB subunit]-O-phospho-L-serine + ADP + H+,EC-2.7.11,ATP // a [K<sup>+</sup> transporting P-type ATPase KdpB subunit]-L-serine // a [K<sup>+</sup> transporting P-type ATPase KdpB subunit]-<i>O</i>-phospho-L-serine // ADP // H<SUP>+</SUP>,a [K<sup>+</sup> transporting P-type ATPase KdpB subunit]-<i>O</i>-phospho-L-serine // ADP // H<SUP>+</SUP>,serine histidine kinase KdpD,kdpD,
"lipid X (E. coli) + UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosamine  ->  lipid A disaccharide (E. coli) + UDP + H+",EC-2.4.1.182,"UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-&alpha;-D-glucosamine // lipid X (<i>E. coli</i>) // H<SUP>+</SUP> // lipid A disaccharide (<i>E. coli</i>) // UDP",H<SUP>+</SUP> // lipid A disaccharide (<i>E. coli</i>) // UDP,lipid A disaccharide synthase,lpxB,lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)
ATP + a [protein]-L-serine  ->  ADP + a [protein]-O-phospho-L-serine + H+,EC-2.7.11.35,a [protein]-L-serine // ATP // ADP // a [protein]-<i>O</i>-phospho-L-serine // H<SUP>+</SUP>,ADP // a [protein]-<i>O</i>-phospho-L-serine // H<SUP>+</SUP>,stress response kinase A // protein kinase YeaG,,
an N1-methyladenine in RNA + 2-oxoglutarate + dioxygen  ->  an adenine in RNA + CO2 + formaldehyde + succinate,EC-1.14.11.54,dioxygen // 2-oxoglutarate // an <i>N</i><sup>1</sup>-methyladenine in RNA // an adenine in RNA // CO<SUB>2</SUB> // formaldehyde // succinate,an adenine in RNA // CO<SUB>2</SUB> // formaldehyde // succinate,DNA oxidative demethylase,alkB,
"7,8-dihydromonapterin triphosphate + 3 H2O  ->  7,8-dihydromonapterin + 3 phosphate + 2 H+",,"H<sub>2</sub>O // 7,8-dihydromonapterin triphosphate // H<SUP>+</SUP> // 7,8-dihydromonapterin // phosphate","H<SUP>+</SUP> // 7,8-dihydromonapterin // phosphate",,,tetrahydromonapterin biosynthesis
FADH2 + NAD+  <-  FAD + NADH + 2 H+,EC-1.5.1.37,NAD<sup>+</sup> // FADH<SUB>2</SUB> // FAD // NADH // H<SUP>+</SUP>,FADH<SUB>2</SUB> // NAD<sup>+</sup>,"NAD(P)H-flavin reductase // alkyl hydroperoxide reductase, AhpF component",ahpF // fre,
a queuosine in tRNA + oxidized electron carrier + H2O  <-  an epoxyqueuosine34 in tRNA + reduced two electron carrier,EC-1.17.99.6,H<sub>2</sub>O // an oxidized electron carrier // a queuosine in tRNA // an epoxyqueuosine<sup>34</sup> in tRNA // a reduced two electron carrier,a queuosine in tRNA // an oxidized electron carrier // H<sub>2</sub>O,epoxyqueuosine reductase,queG,queuosine biosynthesis I (<i>de novo</i>)
"7,8-dihydroneopterin 3'-triphosphate + H2O  ->  7,8-dihydroneopterin 3'-phosphate + diphosphate + H+",EC-3.6.1.67,"H<sub>2</sub>O // 7,8-dihydroneopterin 3'-triphosphate // H<SUP>+</SUP> // 7,8-dihydroneopterin 3'-phosphate // diphosphate","H<SUP>+</SUP> // 7,8-dihydroneopterin 3'-phosphate // diphosphate",dihydroneopterin triphosphate diphosphatase,nudB,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
maltoheptaose + phosphate  ->  maltohexaose + alpha-D-glucopyranose 1-phosphate,EC-2.4.1.1,phosphate // maltoheptaose // maltohexaose // &alpha;-D-glucopyranose 1-phosphate,maltohexaose // &alpha;-D-glucopyranose 1-phosphate,maltodextrin phosphorylase,malP,
(7Z)-hexadecenoyl-CoA + acetyl-CoA  <-->  3-oxo-(9Z)-octadecenoyl-CoA + coenzyme A,EC-2.3.1.16,acetyl-CoA // (7Z)-hexadecenoyl-CoA // 3-oxo-(9Z)-octadecenoyl-CoA // coenzyme A,3-oxo-(9Z)-octadecenoyl-CoA // coenzyme A,3-ketoacyl-CoA thiolase // 3-ketoacyl-CoA thiolase FadI,fadA // fadI,oleate &beta;-oxidation
2 a siderophore-bound Fe(II) + NADP+ + H+  <-  2 a siderophore-bound Fe(III) + NADPH,EC-1.16.1.10,H<SUP>+</SUP> // NADP<sup>+</sup> // a siderophore-bound Fe(II) // a siderophore-bound Fe(III) // NADPH,a siderophore-bound Fe(II) // NADP<sup>+</sup> // H<SUP>+</SUP>,NADPH-dependent Fe(3+)-chelate reductase,nfeF,
isopentenyl diphosphate  <-->  prenyl diphosphate,EC-5.3.3.2,isopentenyl diphosphate // prenyl diphosphate,prenyl diphosphate,isopentenyl-diphosphate &Delta;-isomerase,idi,methylerythritol phosphate pathway I
alpha-D-ribofuranose  <-->  beta-D-ribofuranose,,&alpha;-D-ribofuranose // &beta;-D-ribofuranose,&beta;-D-ribofuranose,,,
UDP-alpha-D-glucose + alpha-Hep-(1->3)-alpha-Hep-(1->5)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->6)-lipid A (E. coli)  ->  glucosyl-(heptosyl)2-Kdo2-lipid A + UDP + H+,EC-2.4.1,&alpha;-Hep-(1&rarr;3)-&alpha;-Hep-(1&rarr;5)-[&alpha;-Kdo-(2&rarr;4)]-&alpha;-Kdo-(2&rarr;6)-lipid A (<i>E. coli</i>) // UDP-&alpha;-D-glucose // H<SUP>+</SUP> // glucosyl-(heptosyl)<sub>2</sub>-Kdo<sub>2</sub>-lipid A // UDP,H<SUP>+</SUP> // glucosyl-(heptosyl)<sub>2</sub>-Kdo<sub>2</sub>-lipid A // UDP,lipopolysaccharide glucosyltransferase I,waaG,
(Z)-3-ureidoacrylate + H2O + H+  ->  (Z)-3-aminoacrylate + ammonium + CO2,EC-3.5.1.110,H<SUP>+</SUP> // H<sub>2</sub>O // (<i>Z</i>)-3-ureidoacrylate // (<i>Z</i>)-3-aminoacrylate // ammonium // CO<SUB>2</SUB>,(<i>Z</i>)-3-aminoacrylate // ammonium // CO<SUB>2</SUB>,ureidoacrylate amidohydrolase,rutB,uracil degradation III
prephenate + H+  ->  3-phenyl-2-oxopropanoate + CO2 + H2O,EC-4.2.1.51,prephenate // H<SUP>+</SUP> // 3-phenyl-2-oxopropanoate // H<sub>2</sub>O // CO<SUB>2</SUB>,3-phenyl-2-oxopropanoate // H<sub>2</sub>O // CO<SUB>2</SUB>,fused chorismate mutase/prephenate dehydratase,pheA,L-phenylalanine biosynthesis I
L-homoserine + succinyl-CoA  ->  O-succinyl-L-homoserine + coenzyme A,EC-2.3.1.46,succinyl-CoA // L-homoserine // <i>O</i>-succinyl-L-homoserine // coenzyme A,<i>O</i>-succinyl-L-homoserine // coenzyme A,homoserine O-succinyltransferase,metA,L-methionine biosynthesis I
"3-hydroxycinnamate + NADH + dioxygen + H+  ->  2,3-dihydroxy-trans-cinnamate + NAD+ + H2O",EC-1.14.13.127,"H<SUP>+</SUP> // NADH // dioxygen // 3-hydroxycinnamate // 2,3-dihydroxy-<i>trans</i>-cinnamate // H<sub>2</sub>O // NAD<sup>+</sup>","2,3-dihydroxy-<i>trans</i>-cinnamate // H<sub>2</sub>O // NAD<sup>+</sup>",3-(3-hydroxyphenyl)propanoate hydroxylase,mhpA,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
IMP + NAD+ + H2O  <-->  XMP + NADH + H+,EC-1.1.1.205,IMP // NAD<sup>+</sup> // H<sub>2</sub>O // H<SUP>+</SUP> // NADH // XMP,H<SUP>+</SUP> // NADH // XMP,inosine 5'-monophosphate dehydrogenase,guaB,guanosine ribonucleotides <i>de novo</i> biosynthesis
2'-(5''-triphospho-alpha-D-ribosyl)-3'-dephospho-CoA + apo [citrate-lyase acyl-carrier protein]  ->  holo [citrate lyase acyl-carrier protein] + diphosphate,EC-2.7.7.61,an <i>apo</i> [citrate-lyase acyl-carrier protein] // 2'-(5''-triphospho-&alpha;-D-ribosyl)-3'-dephospho-CoA // a <i>holo</i> [citrate lyase acyl-carrier protein] // diphosphate,a <i>holo</i> [citrate lyase acyl-carrier protein] // diphosphate,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,citX,citrate lyase activation
UMP[periplasmic space] + H2O[periplasmic space]  ->  uridine[periplasmic space] + phosphate[periplasmic space],EC-3.1.3.5,H<sub>2</sub>O // UMP // uridine // phosphate,uridine // phosphate,alkaline phosphatase,phoA,
NADPH + H2O  ->  (R)-NADPHX,,H<sub>2</sub>O // NADPH // (<i>R</i>)-NADPHX,(<i>R</i>)-NADPHX,,,
"a [prolipoprotein]-L-cysteine + a phosphatidylglycerol  ->  a [prolipoprotein]-S-1,2-diacyl-sn-glyceryl-L-cysteine + sn-glycerol 1-phosphate + H+",EC-2.5.1.145,"a phosphatidylglycerol // a [prolipoprotein]-L-cysteine // a [prolipoprotein]-<i>S</i>-1,2-diacyl-<i>sn</i>-glyceryl-L-cysteine // <i>sn</i>-glycerol 1-phosphate // H<SUP>+</SUP>","a [prolipoprotein]-<i>S</i>-1,2-diacyl-<i>sn</i>-glyceryl-L-cysteine // <i>sn</i>-glycerol 1-phosphate // H<SUP>+</SUP>",phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,lgt,lipoprotein posttranslational modification (Gram-negative bacteria)
a [selenocysteine lyase]-S-selenopersulfide + a [selenium-carrier protein]-L-cysteine  ->  a [selenocysteine lyase]-L-cysteine + a [selenium-carrier protein]-S-selenopersulfide,,a [selenium-carrier protein]-L-cysteine // a [selenocysteine lyase]-<i>S</i>-selenopersulfide // a [selenocysteine lyase]-L-cysteine // a [selenium-carrier protein]-<i>S</i>-selenopersulfide,a [selenocysteine lyase]-L-cysteine // a [selenium-carrier protein]-<i>S</i>-selenopersulfide,L-cysteine desulfurase SufS,sufS,
"ATP + beta-D-fructofuranose 1-phosphate  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+",EC-2.7.1.56,"&beta;-D-fructofuranose 1-phosphate // ATP // H<SUP>+</SUP> // ADP // &beta;-D-fructofuranose 1,6-bisphosphate","H<SUP>+</SUP> // ADP // &beta;-D-fructofuranose 1,6-bisphosphate",1-phosphofructokinase,fruK,fructose degradation
tRNAglu + L-glutamate + ATP  ->  L-glutamyl-[tRNAGlu] + AMP + diphosphate,EC-6.1.1.17,ATP // L-glutamate // a tRNA<SUP>glu</SUP> // an L-glutamyl-[tRNA<SUP>Glu</SUP>] // diphosphate // AMP,an L-glutamyl-[tRNA<SUP>Glu</SUP>] // diphosphate // AMP,glutamate&mdash;tRNA ligase,gltX,uroporphyrinogen-III I (from glutamate) // tRNA charging
(R)-malate + NAD+  ->  oxaloacetate + NADH + H+,,NAD<sup>+</sup> // (R)-malate // oxaloacetate // NADH // H<SUP>+</SUP>,oxaloacetate // NADH // H<SUP>+</SUP>,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),dmlA,
